"Año","Municipios","Subregión","Area en Pasto de Corte (Hectarea)","Area en Pasto Natural (Hectarea)","Area en Pasto Mejorado (Hectarea)","Area en Pasto Cultivo Forrajero (Hectarea)","Área en Pasto Sistema Silvopastoril (Hectárea)","Total (Hectareas)"
"2,005","Santiago de Tolú","Golfo de Morrosquillo","47.00","27,380.00","null","null","null","27,427.00"
"2,005","Toluviejo","Golfo de Morrosquillo","105.00","23,443.00","null","null","null","23,548.00"
"2,006","No existen datos","No existen datos","null","null","null","null","null","null"
"2,007","Sincelejo","Sabanas","316.00","23,000.00","625.00","null","null","23,941.00"
"2,007","Buenavista","Sabanas","80.00","9,862.00","150.00","null","null","10,092.00"
"2,007","Caimito","San Jorge","null","604.00","37,568.00","null","null","38,172.00"
"2,007","Colosó","Montes de María","15.00","3,500.00","null","null","null","3,515.00"
"2,007","Corozal","Sabanas","49.00","23,039.00","60.00","4.00","null","23,152.00"
"2,007","Coveñas","Golfo de Morrosquillo","15.00","1,200.00","400.00","2.00","null","1,617.00"
"2,007","Chalán","Montes de María","1.00","2,900.00","null","null","null","2,901.00"
"2,007","El Roble","Sabanas","20.00","15,546.00","null","null","null","15,566.00"
"2,007","Galeras","Sabanas","30.00","27,997.00","null","null","null","28,027.00"
"2,007","Guaranda","Mojana","null","15,000.00","5,300.00","null","null","20,300.00"
"2,007","La Unión","San Jorge","25.00","21,219.00","1,328.00","null","null","22,572.00"
"2,007","Los Palmitos","Sabanas","22.50","19,488.50","null","2.00","null","19,513.00"
"2,007","Majagual","Mojana","null","55,000.00","15,000.00","null","null","70,000.00"
"2,007","Morroa","Montes de María","50.00","14,983.00","20.00","null","null","15,053.00"
"2,007","Ovejas","Montes de María","50.00","38,070.00","500.00","null","null","38,620.00"
"2,007","San Antonio de Palmito","Morrosquillo","40.00","9,792.00","6,491.00","null","null","16,323.00"
"2,007","Sampués","Sabanas","175.00","16,841.00","1,850.00","null","null","18,866.00"
"2,007","San Benito Abad","San Jorge","25.00","28,550.00","18,320.00","null","null","46,895.00"
"2,007","San Juan de Betulia","Sabanas","15.00","20,800.00","80.00","null","null","20,895.00"
"2,007","San Marcos","San Jorge","415.00","36,014.00","35,814.00","null","null","72,243.00"
"2,007","San Onofre","Morrosquillo","800.00","77,578.00","2,250.00","null","null","80,628.00"
"2,007","San Pedro","Sabanas","230.00","19,252.00","10.00","null","null","19,492.00"
"2,007","San Luis de Sincé","Sabanas","120.00","35,358.00","550.00","20.00","null","36,048.00"
"2,007","Sucre","Mojana","null","29,668.00","9,890.00","null","null","39,558.00"
"2,007","Santiago de Tolú","Golfo de Morrosquillo","65.00","16,707.00","5,596.00","null","null","22,368.00"
"2,007","Toluviejo","Golfo de Morrosquillo","155.00","23,443.00","null","null","null","23,598.00"
"2,008","Sincelejo","Sabanas","323.00","23,000.00","639.00","null","null","23,962.00"
"2,008","Buenavista","Sabanas","85.00","9,827.00","180.00","null","null","10,092.00"
"2,008","Caimito","San Jorge","null","604.00","37,568.00","null","null","38,172.00"
"2,008","Chalán","Montes de María","3.00","2,967.00","null","null","null","2,970.00"
"2,008","Colosó","Montes de María","18.00","3,500.00","null","null","null","3,518.00"
"2,008","Corozal","Sabanas","90.00","22,978.00","80.00","4.00","null","23,152.00"
